ID1,Topic1,ID2,Topic2,Count
12,Wallet,52,CoinSpace,57780
49,Exodus,49,Exodus,42120
50,Jaxx,50,Jaxx,40920
51,Coinfy,51,Coinfy,14322
52,CoinSpace,52,CoinSpace,38520
13,Funding,53,CTO,55980
13,Funding,54,Company Takeover,54180
13,Funding,55,Part time,52380
13,Funding,56,Meetup,50580
53,CTO,53,CTO,37320
54,Company Takeover,54,Company Takeover,36120
55,Part time,55,Part time,34920
56,Meetup,56,Meetup,33720
14,Soft Skill,57,Communication,48780
14,Soft Skill,58,Work ethic,46980
14,Soft Skill,59,Teamwork,45180
14,Soft Skill,60,Integrity,43380
57,Communication,57,Communication,32520
58,Work ethic,58,Work ethic,31320
59,Teamwork,59,Teamwork,301320
60,Integrity,60,Integrity,1400
15,Psychological makeup,61,Risk Taker,41580
15,Psychological makeup,62,Global Leadership,39780
15,Psychological makeup,63,Strategic Development,37980
15,Psychological makeup,64,Motivation,36180
61,Risk Taker,61,Risk Taker,27720
62,Global Leadership,62,Global Leadership,26520
63,Strategic Development,63,Strategic Development,25320
64,Motivation,64,Motivation,24120
16,Start Up,65,Prototype Development,34380
16,Start Up,66,Silicon Valley,32580
16,Start Up,67,Business model,30780
16,Start Up,68,Scalability,28980
65,Prototype Development,65,Prototype Development,22920
66,Silicon Valley,66,Silicon Valley,21720
67,Business model,67,Business model,20520
68,Scalability,68,Scalability,19320
17,Encryption,69,SHA,27180
17,Encryption,70,MD5,25380
17,Encryption,71,WAP,23580
17,Encryption,72,WEP,21780
69,SHA,69,SHA,18120
70,MD5,70,MD5,16920
71,WAP,71,WAP,15720
72,WEP,72,WEP,14520
18,Firewall,73,Gateway,19980
18,Firewall,74,Packet filter,18180
18,Firewall,75,IPtables,16380
18,Firewall,76,Whitelist,14580
73,Gateway,73,Gateway,13320
74,Packet filter,74,Packet filter,12120
75,IPtables,75,IPtables,10920
76,Whitelist,76,Whitelist,9720
19,Authorization,77,Token Based,12780
19,Authorization,78,Oauth,10980
19,Authorization,79,Multi Factor,9180
19,Authorization,80,Cookie,7380
77,Token Based,77,Token Based,8520
78,Oauth,78,Oauth,7320
79,Multi Factor,79,Multi Factor,6120
80,Cookie,80,Cookie,4820
20,Anti virus,81,Trojan horse,5580
20,Anti virus,82,Kaspersky,3780
20,Anti virus,83,Window defender,1980
20,Anti virus,84,Quarantine,180
81,Trojan horse,81,Trojan horse,3720
82,Kaspersky,82,Kaspersky,2520
83,Window defender,83,Window defender,1320
84,Quarantine,84,Quarantine,120
