"ID1","Topic1","ID2","Topic2","Count"
156236,"i’m",148722,"110",10
156296,"incontact",148722,"110",11
156363,"isakov",148722,"110",34
140756,"march 11",148722,"110",15
156352,"paulus",148722,"110",31
156351,"rowell",148722,"110",29
158792,"starbuck",148722,"110",25
140138,"11am",140138,"11am",7
156226,"2017",140138,"11am",35
158334,"Bryan Starbuck",140138,"11am",7
136162,"css",140138,"11am",6
156235,"cto",140138,"11am",17
137060,"html",140138,"11am",6
136388,"iphone",140138,"11am",10
136233,"javascript",140138,"11am",6
143028,"mysql",140138,"11am",6
142180,"postgresql",140138,"11am",6
137533,"recruiting",140138,"11am",8
136086,"ror",140138,"11am",12
158792,"starbuck",140138,"11am",35
136180,"startups",140138,"11am",7
156257,"webapp",140138,"11am",9
156432,"0.05",156431,"13 february",14
156431,"13 february",156431,"13 february",14
156226,"2017",156431,"13 february",28
136151,"300",156431,"13 february",28
155950,"amazon cloudwatch",156431,"13 february",14
156246,"aws",156431,"13 february",28
156326,"datapoint",156431,"13 february",28
158462,"entered",156431,"13 february",14
142622,"timestamp",156431,"13 february",14
136354,"unsubscribe",156431,"13 february",14
138900,"14th",138900,"14th",6
156226,"2017",138900,"14th",12
140674,"535",138900,"14th",6
137098,"anymore",138900,"14th",6
136241,"blog",138900,"14th",9
136142,"facebook",138900,"14th",6
136218,"feedback",138900,"14th",6
136226,"linkedin",138900,"14th",6
139543,"san francisco",138900,"14th",8
136354,"unsubscribe",138900,"14th",12
145742,"156",145742,"156",48
137975,"183",145742,"156",1164
150575,"195",145742,"156",388
136654,"200",145742,"156",301
137553,"april 1st",145742,"156",9
142874,"crm",145742,"156",87
145452,"eng",145742,"156",798
156328,"etan",145742,"156",88
141296,"handoff",145742,"156",43
136304,"maharjan",145742,"156",173
137862,"may 1st",145742,"156",1032
148510,"may 2nd",145742,"156",22
156475,"mcdonald",145742,"156",7
152591,"nirajan",145742,"156",43
136879,"pokharel",145742,"156",43
156630,"referrer",145742,"156",43
156351,"rowell",145742,"156",86
136275,"saroj",145742,"156",259
136566,"shapiro",145742,"156",88
156242,"shrestha",145742,"156",6
158792,"starbuck",145742,"156",43
136416,"switched",145742,"156",43
156335,"udell",145742,"156",43
156547,"utm source",145742,"156",87
156231,"1600",156231,"1600",18
156330,"556",156231,"1600",7
156329,"844",156231,"1600",7
140624,"google docs",156231,"1600",9
156230,"google inc",156231,"1600",18
142999,"google sheets",156231,"1600",12
139809,"lamichhane",156231,"1600",6
136824,"pkwy",156231,"1600",7
158792,"starbuck",156231,"1600",9
136201,"usa",156231,"1600",18
136685,"175",136685,"175",13
136509,"1996",136685,"175",6
156266,"1st",136685,"175",14
136389,"2016",136685,"175",24
156226,"2017",136685,"175",121
156425,"273",136685,"175",6
141264,"847",136685,"175",6
137143,"9am",136685,"175",8
136162,"css",136685,"175",7
156235,"cto",136685,"175",19
156243,"don’t",136685,"175",9
145452,"eng",136685,"175",10
158462,"entered",136685,"175",7
156328,"etan",136685,"175",134
156249,"feb",136685,"175",14
141296,"handoff",136685,"175",6
156811,"hyman",136685,"175",6
156236,"i’m",136685,"175",8
136388,"iphone",136685,"175",7
156345,"justin mcdonald",136685,"175",9
156352,"paulus",136685,"175",12
156351,"rowell",136685,"175",13
156424,"schaumburg",136685,"175",6
136221,"screenshots",136685,"175",7
145235,"security",136685,"175",14
136566,"shapiro",136685,"175",87
156833,"ssn",136685,"175",8
158792,"starbuck",136685,"175",29
145742,"156",137975,"183",1164
137975,"183",137975,"183",45
150575,"195",137975,"183",244
156266,"1st",137975,"183",84
136654,"200",137975,"183",189
156226,"2017",137975,"183",40
137553,"april 1st",137975,"183",18
142874,"crm",137975,"183",58
136257,"devkota",137975,"183",8
145452,"eng",137975,"183",558
156328,"etan",137975,"183",58
156249,"feb",137975,"183",84
141296,"handoff",137975,"183",27
156345,"justin mcdonald",137975,"183",31
156430,"lookup",137975,"183",28
136304,"maharjan",137975,"183",114
137862,"may 1st",137975,"183",648
156475,"mcdonald",137975,"183",8
152591,"nirajan",137975,"183",27
156352,"paulus",137975,"183",31
136879,"pokharel",137975,"183",27
156630,"referrer",137975,"183",53
156351,"rowell",137975,"183",86
136275,"saroj",137975,"183",172
145235,"security",137975,"183",8
136566,"shapiro",137975,"183",58
156242,"shrestha",137975,"183",8
136809,"sql",137975,"183",36
158792,"starbuck",137975,"183",36
136416,"switched",137975,"183",27
156335,"udell",137975,"183",28
156549,"utm campaign",137975,"183",26
156550,"utm content",137975,"183",26
156548,"utm medium",137975,"183",26
156547,"utm source",137975,"183",81
156551,"utm term",137975,"183",26
145742,"156",150575,"195",388
137975,"183",150575,"195",244
150575,"195",150575,"195",22
136654,"200",150575,"195",68
156226,"2017",150575,"195",48
137553,"april 1st",150575,"195",22
158334,"Bryan Starbuck",150575,"195",10
142874,"crm",150575,"195",18
156235,"cto",150575,"195",15
136257,"devkota",150575,"195",10
137361,"dnc",150575,"195",24
156243,"don’t",150575,"195",7
145452,"eng",150575,"195",182
156328,"etan",150575,"195",20
158295,"fwd",150575,"195",6
140451,"gagan",150575,"195",16
141296,"handoff",150575,"195",9
156296,"incontact",150575,"195",25
136304,"maharjan",150575,"195",36
137862,"may 1st",150575,"195",216
152591,"nirajan",150575,"195",13
138536,"october 31",150575,"195",9
156352,"paulus",150575,"195",11
136879,"pokharel",150575,"195",13
156630,"referrer",150575,"195",9
156351,"rowell",150575,"195",41
151965,"runscope",150575,"195",14
136275,"saroj",150575,"195",54
136566,"shapiro",150575,"195",19
156242,"shrestha",150575,"195",18
158792,"starbuck",150575,"195",53
156442,"stat",150575,"195",6
136416,"switched",150575,"195",9
156335,"udell",150575,"195",9
156547,"utm source",150575,"195",19
156332,"westover",150575,"195",13
156443,"westy",150575,"195",6
136685,"175",136509,"1996",6
136509,"1996",136509,"1996",15
136389,"2016",136509,"1996",42
156226,"2017",136509,"1996",69
156425,"273",136509,"1996",31
141264,"847",136509,"1996",31
156422,"bhishma",136509,"1996",20
158334,"Bryan Starbuck",136509,"1996",12
136162,"css",136509,"1996",9
156235,"cto",136509,"1996",27
156243,"don’t",136509,"1996",6
142976,"dropdown",136509,"1996",6
138264,"encrypted",136509,"1996",42
156328,"etan",136509,"1996",32
136520,"ext",136509,"1996",9
150019,"ftp",136509,"1996",27
149586,"ftp server",136509,"1996",17
140451,"gagan",136509,"1996",7
141296,"handoff",136509,"1996",9
156811,"hyman",136509,"1996",12
156236,"i’m",136509,"1996",8
143712,"june 22",136509,"1996",6
156345,"justin mcdonald",136509,"1996",6
140508,"october 26",136509,"1996",6
156352,"paulus",136509,"1996",21
156499,"reierson",136509,"1996",10
156351,"rowell",136509,"1996",45
156424,"schaumburg",136509,"1996",31
153316,"sftp",136509,"1996",11
136566,"shapiro",136509,"1996",13
156242,"shrestha",136509,"1996",7
136173,"skype",136509,"1996",6
156833,"ssn",136509,"1996",12
158792,"starbuck",136509,"1996",66
136276,"uploaded",136509,"1996",8
156332,"westover",136509,"1996",14
138527,"1pm",138527,"1pm",10
156226,"2017",138527,"1pm",23
141774,"2nd half",138527,"1pm",16
156235,"cto",138527,"1pm",7
145452,"eng",138527,"1pm",14
156296,"incontact",138527,"1pm",8
156352,"paulus",138527,"1pm",7
158792,"starbuck",138527,"1pm",13
136394,"we'd",138527,"1pm",6
137070,"100",156266,"1st",29
136685,"175",156266,"1st",14
137975,"183",156266,"1st",84
156266,"1st",156266,"1st",736
136654,"200",156266,"1st",14
136335,"2015",156266,"1st",40
136389,"2016",156266,"1st",15
156226,"2017",156266,"1st",84
156253,"2nd",156266,"1st",44
141774,"2nd half",156266,"1st",669
143082,"3.0",156266,"1st",20
139520,"30 days",156266,"1st",13
136151,"300",156266,"1st",16
138617,"303",156266,"1st",18
136575,"3rd",156266,"1st",40
137901,"400",156266,"1st",14
136114,"adding",156266,"1st",80
137960,"answered",156266,"1st",13
136435,"asap",156266,"1st",23
152149,"aug 17",156266,"1st",60
154214,"auth",156266,"1st",15
156246,"aws",156266,"1st",71
149320,"backup",156266,"1st",8
156175,"bellevue",156266,"1st",26
156422,"bhishma",156266,"1st",24
158334,"Bryan Starbuck",156266,"1st",43
156375,"callback",156266,"1st",28
142939,"callbacks",156266,"1st",15
148696,"capistrano",156266,"1st",24
137202,"clicking",156266,"1st",16
136228,"config",156266,"1st",95
142874,"crm",156266,"1st",328
136162,"css",156266,"1st",28
158262,"database",156266,"1st",42
156830,"dec",156266,"1st",2305
156365,"defaulted",156266,"1st",32
137460,"defaulting",156266,"1st",22
136145,"delivered",156266,"1st",45
136324,"deployed",156266,"1st",22
136257,"devkota",156266,"1st",751
141013,"dialed",156266,"1st",22
156439,"dialer",156266,"1st",30
138480,"displaying",156266,"1st",86
157177,"dkim",156266,"1st",82
137361,"dnc",156266,"1st",56
156622,"dob",156266,"1st",64
156243,"don’t",156266,"1st",8
142976,"dropdown",156266,"1st",122
136751,"emailed",156266,"1st",7
136217,"endpoint",156266,"1st",13
145452,"eng",156266,"1st",8300
158462,"entered",156266,"1st",94
156328,"etan",156266,"1st",969
156249,"feb",156266,"1st",3269
136218,"feedback",156266,"1st",43
150019,"ftp",156266,"1st",68
149586,"ftp server",156266,"1st",9
156346,"ftp site",156266,"1st",9
141181,"functionality",156266,"1st",62
140451,"gagan",156266,"1st",124
156229,"google",156266,"1st",22
142951,"google analytics",156266,"1st",18
141296,"handoff",156266,"1st",31
136181,"having",156266,"1st",21
142604,"hellosign",156266,"1st",141
156633,"hii",156266,"1st",53
136091,"honeybadger",156266,"1st",21
136297,"hosted",156266,"1st",36
137060,"html",156266,"1st",6
137811,"i.e",156266,"1st",30
136352,"i'd",156266,"1st",36
156236,"i’m",156266,"1st",10
141554,"ids",156266,"1st",97
156296,"incontact",156266,"1st",171
143414,"invision",156266,"1st",63
151396,"jruby",156266,"1st",62
156269,"json",156266,"1st",37
143483,"june 1st",156266,"1st",85
156345,"justin mcdonald",156266,"1st",238
139809,"lamichhane",156266,"1st",24
136240,"let's",156266,"1st",58
156430,"lookup",156266,"1st",102
136304,"maharjan",156266,"1st",260
137862,"may 1st",156266,"1st",8
148510,"may 2nd",156266,"1st",10
156475,"mcdonald",156266,"1st",1183
156412,"monit",156266,"1st",196
157344,"newrelic",156266,"1st",55
142931,"nginx",156266,"1st",32
152591,"nirajan",156266,"1st",121
137139,"nov",156266,"1st",873
137623,"oct",156266,"1st",27
156352,"paulus",156266,"1st",86
136879,"pokharel",156266,"1st",134
136821,"pokhrel",156266,"1st",68
142584,"popup",156266,"1st",57
156261,"postgres",156266,"1st",74
156630,"referrer",156266,"1st",42
156258,"repo",156266,"1st",20
156351,"rowell",156266,"1st",272
156594,"rtd",156266,"1st",40
151965,"runscope",156266,"1st",78
136275,"saroj",156266,"1st",262
136221,"screenshots",156266,"1st",21
145235,"security",156266,"1st",42
153316,"sftp",156266,"1st",26
136566,"shapiro",156266,"1st",1061
156242,"shrestha",156266,"1st",386
136165,"sidekiq",156266,"1st",6
139346,"sms",156266,"1st",93
142865,"spf",156266,"1st",82
136809,"sql",156266,"1st",79
146927,"ssl",156266,"1st",20
158792,"starbuck",156266,"1st",312
138498,"sushil",156266,"1st",96
140180,"sweeney",156266,"1st",6
156607,"synch",156266,"1st",23
142981,"the db",156266,"1st",22
137171,"the google",156266,"1st",20
142930,"timeout",156266,"1st",7
142622,"timestamp",156266,"1st",144
142995,"timezone",156266,"1st",20
146706,"twilio",156266,"1st",108
136276,"uploaded",156266,"1st",20
143784,"user id",156266,"1st",39
156549,"utm campaign",156266,"1st",42
156550,"utm content",156266,"1st",42
156548,"utm medium",156266,"1st",42
156547,"utm source",156266,"1st",43
156551,"utm term",156266,"1st",42
156257,"webapp",156266,"1st",14
157228,"welcom",156266,"1st",29
156332,"westover",156266,"1st",7
153668,"whitelisting",156266,"1st",22
156114,"yaml",156266,"1st",45
145742,"156",136654,"200",301
137975,"183",136654,"200",189
150575,"195",136654,"200",68
156266,"1st",136654,"200",14
136654,"200",136654,"200",17
136389,"2016",136654,"200",11
156226,"2017",136654,"200",40
157629,"april 2nd",136654,"200",17
141202,"aug 25",136654,"200",15
158334,"Bryan Starbuck",136654,"200",6
156447,"bryon",136654,"200",16
156375,"callback",136654,"200",8
142939,"callbacks",136654,"200",9
150395,"comcast",136654,"200",27
142874,"crm",136654,"200",14
156235,"cto",136654,"200",6
136257,"devkota",136654,"200",7
156243,"don’t",136654,"200",6
145452,"eng",136654,"200",167
156328,"etan",136654,"200",29
156249,"feb",136654,"200",14
140451,"gagan",136654,"200",11
141296,"handoff",136654,"200",7
136304,"maharjan",136654,"200",40
137862,"may 1st",136654,"200",192
156475,"mcdonald",136654,"200",6
152591,"nirajan",136654,"200",7
136879,"pokharel",136654,"200",7
156630,"referrer",136654,"200",7
156351,"rowell",136654,"200",27
151965,"runscope",136654,"200",14
139147,"san francisco ca",136654,"200",13
136275,"saroj",136654,"200",67
136566,"shapiro",136654,"200",24
156242,"shrestha",136654,"200",12
158792,"starbuck",136654,"200",25
136416,"switched",136654,"200",7
156335,"udell",136654,"200",7
156547,"utm source",136654,"200",15
136510,"2000",136510,"2000",12
156226,"2017",136510,"2000",19
142176,"341",136510,"2000",11
142173,"atlassian",136510,"2000",19
136241,"blog",136510,"2000",11
143147,"jira",136510,"2000",8
142177,"nsw",136510,"2000",11
142175,"pty ltd",136510,"2000",11
156266,"1st",136335,"2015",40
136335,"2015",136335,"2015",10
136389,"2016",136335,"2015",75
136575,"3rd",136335,"2015",8
156386,"andrew weiss",136335,"2015",6
152149,"aug 17",136335,"2015",24
156246,"aws",136335,"2015",6
156175,"bellevue",136335,"2015",8
158334,"Bryan Starbuck",136335,"2015",7
150395,"comcast",136335,"2015",27
156235,"cto",136335,"2015",7
156830,"dec",136335,"2015",40
138982,"december 15",136335,"2015",36
136257,"devkota",136335,"2015",10
156243,"don’t",136335,"2015",8
145452,"eng",136335,"2015",28
156328,"etan",136335,"2015",8
156633,"hii",136335,"2015",6
156296,"incontact",136335,"2015",6
141183,"ios",136335,"2015",20
156345,"justin mcdonald",136335,"2015",34
158471,"lte",136335,"2015",6
156499,"reierson",136335,"2015",6
156351,"rowell",136335,"2015",45
145235,"security",136335,"2015",7
136566,"shapiro",136335,"2015",8
138439,"sharma",136335,"2015",10
158792,"starbuck",136335,"2015",32
138498,"sushil",136335,"2015",6
137427,"1.5",136389,"2016",41
137070,"100",136389,"2016",94
148722,"110",136389,"2016",51
136685,"175",136389,"2016",24
136509,"1996",136389,"2016",42
156266,"1st",136389,"2016",15
136654,"200",136389,"2016",11
136335,"2015",136389,"2016",75
136389,"2016",136389,"2016",1344
156226,"2017",136389,"2016",13
158299,"246",136389,"2016",8
156425,"273",136389,"2016",42
143082,"3.0",136389,"2016",80
136151,"300",136389,"2016",42
138617,"303",136389,"2016",188
137369,"350",136389,"2016",189
136575,"3rd",136389,"2016",55
137901,"400",136389,"2016",200
136270,"520",136389,"2016",86
156464,"6800",136389,"2016",155
144145,"6th ave",136389,"2016",287
139845,"700",136389,"2016",26
141264,"847",136389,"2016",42
156463,"867",136389,"2016",155
156462,"954",136389,"2016",155
137143,"9am",136389,"2016",63
136114,"adding",136389,"2016",263
147944,"aha",136389,"2016",23
147775,"algo",136389,"2016",16
156466,"andrew goldberg",136389,"2016",292
156386,"andrew weiss",136389,"2016",152
137960,"answered",136389,"2016",18
137098,"anymore",136389,"2016",35
136435,"asap",136389,"2016",198
139372,"aug",136389,"2016",9
137519,"aug 11",136389,"2016",228
152149,"aug 17",136389,"2016",213
144992,"aug 19",136389,"2016",90
152222,"aug 22",136389,"2016",21
139609,"aug 24",136389,"2016",62
141202,"aug 25",136389,"2016",37
140968,"aug 3",136389,"2016",99
137111,"aug 4",136389,"2016",71
144752,"aug 8",136389,"2016",21
152063,"aug 9",136389,"2016",89
142691,"august 19",136389,"2016",28
156586,"august 23",136389,"2016",66
139610,"august 24",136389,"2016",50
139369,"august 25",136389,"2016",26
156246,"aws",136389,"2016",132
158794,"axosoft",136389,"2016",10
136207,"backend",136389,"2016",58
156175,"bellevue",136389,"2016",45
151417,"bioinformatics",136389,"2016",63
156234,"bitbucket",136389,"2016",66
158334,"Bryan Starbuck",136389,"2016",1197
156578,"bsc",136389,"2016",24
136716,"btw",136389,"2016",69
156375,"callback",136389,"2016",7
149652,"caller id",136389,"2016",103
148696,"capistrano",136389,"2016",211
137778,"checking",136389,"2016",53
143554,"chmod",136389,"2016",26
143220,"clicked",136389,"2016",7
137202,"clicking",136389,"2016",513
150395,"comcast",136389,"2016",345
136228,"config",136389,"2016",27
137356,"criteria",136389,"2016",28
142874,"crm",136389,"2016",60
136162,"css",136389,"2016",40
156235,"cto",136389,"2016",1856
158262,"database",136389,"2016",410
156326,"datapoint",136389,"2016",8
156301,"ddos attack",136389,"2016",52
138982,"december 15",136389,"2016",240
156365,"defaulted",136389,"2016",49
136145,"delivered",136389,"2016",56
136324,"deployed",136389,"2016",422
136257,"devkota",136389,"2016",467
141013,"dialed",136389,"2016",12
156439,"dialer",136389,"2016",3760
136621,"discussed",136389,"2016",123
137361,"dnc",136389,"2016",16
142185,"dns",136389,"2016",72
156622,"dob",136389,"2016",44
156243,"don’t",136389,"2016",1016
137487,"dont",136389,"2016",26
143461,"downloaded",136389,"2016",7
142976,"dropdown",136389,"2016",24
138264,"encrypted",136389,"2016",24
158779,"encryption",136389,"2016",12
136217,"endpoint",136389,"2016",74
145452,"eng",136389,"2016",9
158462,"entered",136389,"2016",39
156328,"etan",136389,"2016",361
141503,"experimenting",136389,"2016",47
147757,"extracting",136389,"2016",46
136142,"facebook",136389,"2016",9
136218,"feedback",136389,"2016",396
158780,"firewall",136389,"2016",171
150019,"ftp",136389,"2016",293
149586,"ftp server",136389,"2016",43
156346,"ftp site",136389,"2016",59
141181,"functionality",136389,"2016",81
158295,"fwd",136389,"2016",116
136119,"fyi",136389,"2016",12
140451,"gagan",136389,"2016",460
140374,"goldberg",136389,"2016",253
156229,"google",136389,"2016",22
142951,"google analytics",136389,"2016",26
141296,"handoff",136389,"2016",36
136181,"having",136389,"2016",267
156633,"hii",136389,"2016",55
155496,"hipaa",136389,"2016",58
136091,"honeybadger",136389,"2016",52
137060,"html",136389,"2016",14
156811,"hyman",136389,"2016",42
137811,"i.e",136389,"2016",106
136352,"i'd",136389,"2016",157
156236,"i’m",136389,"2016",864
141554,"ids",136389,"2016",267
156296,"incontact",136389,"2016",1744
143414,"invision",136389,"2016",60
141183,"ios",136389,"2016",914
136388,"iphone",136389,"2016",8
156363,"isakov",136389,"2016",376
156467,"jason edwards",136389,"2016",259
151396,"jruby",136389,"2016",42
156269,"json",136389,"2016",1116
139786,"jul 27",136389,"2016",48
138336,"jul 28",136389,"2016",214
146132,"july 27",136389,"2016",25
144195,"july 28",136389,"2016",137
139357,"june 21",136389,"2016",15
143712,"june 22",136389,"2016",45
156416,"june 29",136389,"2016",7
156345,"justin mcdonald",136389,"2016",3920
156468,"kicked out",136389,"2016",257
136240,"let's",136389,"2016",30
136226,"linkedin",136389,"2016",153
136786,"linux",136389,"2016",61
158471,"lte",136389,"2016",43
136304,"maharjan",136389,"2016",271
140756,"march 11",136389,"2016",146
143523,"may 16",136389,"2016",242
143317,"may 17",136389,"2016",140
138138,"may 18",136389,"2016",28
141236,"may 30",136389,"2016",12
156475,"mcdonald",136389,"2016",105
156429,"messed up",136389,"2016",7
136326,"microsoft",136389,"2016",17
143028,"mysql",136389,"2016",12
156585,"nanpa",136389,"2016",22
157344,"newrelic",136389,"2016",40
142931,"nginx",136389,"2016",57
152591,"nirajan",136389,"2016",213
137139,"nov",136389,"2016",12
140446,"nov 22",136389,"2016",764
139539,"nov 23",136389,"2016",43
142761,"november 14",136389,"2016",18
140447,"november 22",136389,"2016",3710
137623,"oct",136389,"2016",20
142763,"oct 26",136389,"2016",52
141531,"october 11",136389,"2016",184
140699,"october 19",136389,"2016",179
140508,"october 26",136389,"2016",94
138536,"october 31",136389,"2016",20
156440,"office 365",136389,"2016",16
156352,"paulus",136389,"2016",4889
136879,"pokharel",136389,"2016",130
136821,"pokhrel",136389,"2016",59
156261,"postgres",136389,"2016",154
142180,"postgresql",136389,"2016",22
136447,"preventing",136389,"2016",28
156245,"rds",136389,"2016",73
141149,"realtime",136389,"2016",64
143187,"redmond",136389,"2016",50
156499,"reierson",136389,"2016",81
156258,"repo",136389,"2016",248
136086,"ror",136389,"2016",17
158793,"roshan",136389,"2016",470
156351,"rowell",136389,"2016",2892
156594,"rtd",136389,"2016",10
151965,"runscope",136389,"2016",163
156465,"sabath",136389,"2016",2346
136275,"saroj",136389,"2016",597
156424,"schaumburg",136389,"2016",42
136221,"screenshots",136389,"2016",27
137085,"sean",136389,"2016",435
145235,"security",136389,"2016",71
144485,"sep 2",136389,"2016",26
156640,"september 13",136389,"2016",65
139474,"september 15",136389,"2016",69
143302,"september 29",136389,"2016",93
142871,"september 30",136389,"2016",184
153316,"sftp",136389,"2016",100
136566,"shapiro",136389,"2016",189
138439,"sharma",136389,"2016",189
156242,"shrestha",136389,"2016",4456
136165,"sidekiq",136389,"2016",79
136173,"skype",136389,"2016",108
149151,"softphone",136389,"2016",170
136809,"sql",136389,"2016",26
147395,"src",136389,"2016",10
136113,"ssh",136389,"2016",63
146927,"ssl",136389,"2016",84
156833,"ssn",136389,"2016",48
156348,"st cloud mn",136389,"2016",509
158792,"starbuck",136389,"2016",8506
156250,"startup",136389,"2016",34
136180,"startups",136389,"2016",50
156442,"stat",136389,"2016",8
138498,"sushil",136389,"2016",332
140180,"sweeney",136389,"2016",379
136416,"switched",136389,"2016",14
156607,"synch",136389,"2016",53
156359,"tcpa",136389,"2016",108
142981,"the db",136389,"2016",10
141388,"the r",136389,"2016",54
142930,"timeout",136389,"2016",76
156577,"timeouts",136389,"2016",45
142995,"timezone",136389,"2016",9
136354,"unsubscribe",136389,"2016",6
136276,"uploaded",136389,"2016",84
136201,"usa",136389,"2016",12
143784,"user id",136389,"2016",56
136213,"username",136389,"2016",38
156579,"uwo",136389,"2016",68
142941,"voip",136389,"2016",7
136394,"we'd",136389,"2016",336
156257,"webapp",136389,"2016",10
149376,"whitelist",136389,"2016",72
153668,"whitelisting",136389,"2016",40
156417,"whitepages",136389,"2016",166
146075,"wiki",136389,"2016",32
156432,"0.05",156226,"2017",16
137427,"1.5",156226,"2017",7
138672,"10 minutes",156226,"2017",19
137070,"100",156226,"2017",24
140143,"10am",156226,"2017",33
140138,"11am",156226,"2017",35
156431,"13 february",156226,"2017",28
138900,"14th",156226,"2017",12
136685,"175",156226,"2017",121
137975,"183",156226,"2017",40
150575,"195",156226,"2017",48
136509,"1996",156226,"2017",69
138527,"1pm",156226,"2017",23
156266,"1st",156226,"2017",84
136654,"200",156226,"2017",40
136510,"2000",156226,"2017",19
136389,"2016",156226,"2017",13
156226,"2017",156226,"2017",1162
158299,"246",156226,"2017",15
140565,"248",156226,"2017",141
151256,"256",156226,"2017",168
156425,"273",156226,"2017",130
156253,"2nd",156226,"2017",9
141774,"2nd half",156226,"2017",203
139520,"30 days",156226,"2017",20
136151,"300",156226,"2017",36
142176,"341",156226,"2017",19
140674,"535",156226,"2017",182
144145,"6th ave",156226,"2017",13
156329,"844",156226,"2017",9
141264,"847",156226,"2017",69
137143,"9am",156226,"2017",49
137253,"a.m",156226,"2017",16
136114,"adding",156226,"2017",82
147944,"aha",156226,"2017",32
155950,"amazon cloudwatch",156226,"2017",18
157335,"ambari",156226,"2017",45
156466,"andrew goldberg",156226,"2017",99
156386,"andrew weiss",156226,"2017",103
137960,"answered",156226,"2017",12
137098,"anymore",156226,"2017",25
156302,"apac",156226,"2017",10
137553,"april 1st",156226,"2017",51
136435,"asap",156226,"2017",151
142173,"atlassian",156226,"2017",52
152222,"aug 22",156226,"2017",41
139609,"aug 24",156226,"2017",111
141202,"aug 25",156226,"2017",343
156586,"august 23",156226,"2017",9
139369,"august 25",156226,"2017",42
154214,"auth",156226,"2017",6
156246,"aws",156226,"2017",236
158794,"axosoft",156226,"2017",21
136207,"backend",156226,"2017",85
149320,"backup",156226,"2017",13
156175,"bellevue",156226,"2017",30
140342,"berman",156226,"2017",6
156422,"bhishma",156226,"2017",130
