"ID","Count","Topic"
156242,171,"shrestha"
156243,131,"don’t"
156245,13,"rds"
156246,64,"aws"
156249,28,"feb"
156250,11,"startup"
156253,9,"2nd"
156257,10,"webapp"
156258,15,"repo"
156260,9,"one microsoft way"
156261,35,"postgres"
156266,115,"1st"
156269,58,"json"
156296,194,"incontact"
156301,7,"ddos attack"
156302,10,"apac"
156307,8,"sonus"
156309,8,"broadsoft"
156311,6,"may 25th"
156326,10,"datapoint"
156328,193,"etan"
156329,8,"844"
156330,7,"556"
156332,51,"westover"
156335,10,"udell"
156345,135,"justin mcdonald"
156346,10,"ftp site"
156348,8,"st cloud mn"
156351,238,"rowell"
156352,173,"paulus"
156355,6,"zendesk"
156359,14,"tcpa"
156363,12,"isakov"
156365,6,"defaulted"
156375,18,"callback"
156386,25,"andrew weiss"
156405,6,"crowder"
156412,19,"monit"
156416,7,"june 29"
156417,7,"whitepages"
156422,27,"bhishma"
156424,9,"schaumburg"
156425,11,"273"
156429,9,"messed up"
156430,28,"lookup"
156431,7,"13 february"
156432,8,"0.05"
156439,44,"dialer"
156440,10,"office 365"
156442,6,"stat"
156443,8,"westy"
156444,35,"sep"
156447,8,"bryon"
156448,8,"the callback"
156462,8,"954"
156463,8,"867"
156464,8,"6800"
156465,21,"sabath"
156466,20,"andrew goldberg"
156467,19,"jason edwards"
156468,19,"kicked out"
156475,90,"mcdonald"
156499,46,"reierson"
156547,14,"utm source"
156548,8,"utm medium"
156549,7,"utm campaign"
156550,7,"utm content"
156551,7,"utm term"
156577,6,"timeouts"
156578,9,"bsc"
156579,18,"uwo"
156585,9,"nanpa"
156586,6,"august 23"
156594,6,"rtd"
156607,20,"synch"
156611,6,"tcp connection"
156622,14,"dob"
156630,7,"referrer"
156633,31,"hii"
156640,7,"september 13"
156700,6,"o'hair"
156727,7,"hovering"
156730,22,"westbrook"
156765,8,"fomo"
156811,6,"hyman"
156830,27,"dec"
156833,8,"ssn"
157177,7,"dkim"
157228,8,"welcom"
157335,6,"ambari"
157344,6,"newrelic"
157629,9,"april 2nd"
158262,55,"database"
158295,24,"fwd"
158299,6,"246"
158334,436,"Bryan Starbuck"
158462,33,"entered"
158471,6,"lte"
158544,8,"svc"
158779,10,"encryption"
158780,18,"firewall"
158792,484,"starbuck"
158793,26,"roshan"
158794,8,"axosoft"
